"artist_hotttnesss","artist_id","artist_name","artist_mbtags_count","bars_confidence","bars_start","beats_confidence","beats_start","duration","end_of_fade_in","key","key_confidence","latitude","location","longitude","loudness","mode","mode_confidence","release_id","release_name","song_id","start_of_fade_out","tatums_confidence","tatums_start","tempo","terms_freq","time_signature","time_signature_confidence","title","year"
"0.401997543","ARD7TVE1187B99BFB1","Casual","0","0.643","0.58521","0.834","0.58521","218.93179","0.247","1","0.736","37.1573567501336","California - LA","-63.9333578685195","-11.197",0,"0.636",300848,"Fear Itself","SOMZWCG12A8C13C480","218.932","0.779","0.28519","92.198","1","4","0.778","I Didn't Mean To",0
"0.417499645","ARMJAGH1187FB546F3","The Box Tops","1","0.007","0.71054","1","0.20627","148.03546","0.148","6","0.169","35.14968","Memphis, TN","-90.04892","-9.843",0,"0.43",300822,"Dimensions","SOCIWDW12A8C13D406","137.915","0.969","0.20627","121.274","1","4","0.384","Soul Deep",1969
"0.454231157","AR7G5I41187FB4CE6C","Adam Ant","1","0.017","1.30621","0.809","0.81002","233.40363","0","0","0.751","37.1573567501336","London, England","-63.9333578685195","-9.013",1,"0.749",287650,"Friend Or Foe","SONHOTT12A8C13493C","217.124","0.601","0.56254","119.293","0.988583863","4","0","Something Girls",1982
"0.385470551","ARKFYS91187B98E58F","Jeff And Sheri Easter","0","0.121","1.17118","0.438","0.74856","267.7024","2.264","5","0.635","37.1573567501336","Not available","-63.9333578685195","-9.323",1,"0.557",41838,"Ordinary Day","SOYMRWW12A6D4FAB14","254.27","0.136","0.53929","147.782","1","3","0.454","The Moon And I (Ordinary Day Album Version)",0
"0.261941177","ARD0S291187B9B7BF5","Rated R","0","0.709","0.27253","0.709","0.27253","114.78159","0.096","1","0","37.1573567501336","Ohio","-63.9333578685195","-17.302",1,"0",25824,"Da Ghetto Psychic","SOMJBYD12A6D4F8557","114.782","0.467","0.05611","111.787","1","1","0","Keepin It Real (Skit)",0
"0.605507136","AR10USD1187B99F3F1","Tweeterfriendly Music","0","0.142","0.65428","0.234","0.65428","189.57016","0.319","4","0","37.1573567501336","Burlington, Ontario, Canada","-63.9333578685195","-11.642",0,"0.16",8876,"Gin & Phonic","SOHKNRJ12A6701D1F8","181.023","0.292","0.36129","101.43","0.999818045","3","0.408","Drop of Rain",0
"0.332275747","AR8ZCNI1187B9A069B","Planet P Project","0","0.806","1.91886","0.44","1.22595","269.81832","5.3","4","0.717","37.1573567501336","Not available","-63.9333578685195","-13.496",1,"0.652",358182,"Pink World","SOIAZJW12AB01853F1","258.99","0.121","1.22595","86.643","0.959766246","4","0.487","Pink World",1984
"0.422705641","ARNTLGG11E2835DDB9","Clp","0","0.047","0.62445","1","0.09933","266.39628","0.084","7","0.053","37.1573567501336","Not available","-63.9333578685195","-6.697",0,"0.473",692313,"Superinstrumental","SOUDSGM12AC9618304","261.747","1","0.09933","114.041","0.915601748","4","0.878","Insatiable (Instrumental Version)",0
"0.296268954","ARGSJW91187B9B1D6B","JennyAnyKind","0","0.873","0.11194","0.873","0.11194","218.77506","2.125","5","0.354","35.21962","North Carolina","-80.01955","-10.021",0,"0.485",539081,"I Need You","SOQHXMF12AB0182363","207.012","0.229","0.11194","146.765","0.956080751","1","0","Young Boy Blues",0
"0.553071992","ARIK43K1187B9AE54C","Lionel Richie","1","0.191","0.82842","1","0.82842","307.3824","0.612","3","0.524","37.1573567501336","Beverly Hills, CA","-63.9333578685195","-8.346",1,"0.533",25811,"Dancing On The Ceiling","SOBONFF12A6D4F84D8","296.658","0.389","0.58901","125.197","1","3","0.211","Tonight Will Be Alright",1986
"0.447935481","ARD842G1187B997376","Blue Rodeo","2","0.507","1.32118","0","0.30065","491.12771","0","7","1","43.64856","Toronto, Ontario, Canada","-79.38533","-8.576",1,"0.829",135122,"Outskirts","SOHUOAP12A8AE488E9","486.034","0.377","0.05047","119.826","1","4","0.756","Floating",1987
"0.306676094","AR1ZHYZ1187FB3C717","Faiz Ali Faiz","0","0.443","0.90668","0","0.27615","599.24853","1.193","6","0.06","37.1573567501336","Not available","-63.9333578685195","-8.032",1,"0.346",535188,"Panjtan Ka Ghulam","SOILPQQ12AB017E82A","591.999","0.48","0.12168","99.273","1","4","0.158","Sohna Nee Sohna Data",0
"0.51346329","ARYKCQI1187FB3B18F","Tesla","0","0.03","0.8752","1","0.05728","290.29832","0.145","7","0.725","37.1573567501336","Not available","-63.9333578685195","-5.271",1,"0.756",372309,"Gold","SOXLBJT12A8C140925","285.605","0.238","0.05728","150.062","1","4","0.931","Caught In A Dream",2004
"0.291539727","ARQGYP71187FB44566","Jimmy Wakely","0","0.163","0.12236","0","0.12236","151.84934","2.827","1","0.799","34.31109","Mineola, AR","-94.02978","-15.221",1,"0.716",605134,"1942-1952 Jimmy Wakely","SOWTBJW12AC468AC6E","146.199","0.617","0.12236","86.186","1","3","0.929","Broken-Down Merry-Go-Round",0
"0.378254686","AR5KOSW1187FB35FF4","Elena","0","0.552","1.06937","0","0.51434","269.58322","0","2","0.596","49.80388","Dubai UAE","15.47491","-8.05",1,"0.666",386995,"Un cafe_ setanta matins","SOZCTXZ12AB0182364","256.168","0.978","0.51434","111.874","0.935319892","4","1","Setanta matins",0
"0.541888972","ARMAC4T1187FB3FA4C","The Dillinger Escape Plan","1","0.027","1.06698","0.931","0.33578","207.77751","0.061","7","0.381","40.82624","Morris Plains, NJ","-74.47995","-4.264",1,"0.453",223365,"Miss Machine","SOBBUGU12A8C13E95D","204.696","0.654","0.15349","166.862","0.944381208","4","0","Setting Fire to Sleeping Giants",2004
"0.363651365","ARGIWFO1187B9B55B7","Five Bolt Main","0","0.857","0.08901","0.857","0.08901","225.09669","0","7","0.53","37.1573567501336","Not available","-63.9333578685195","-5.908",1,"0.512",45730,"Live","SOPSWQW12A6D4F8781","225.097","0.24","0.08901","164.672","0.953673906","1","0","Made Like This (Live)",0
"0.349912612","ARDNS031187B9924F0","Tim Wilson","0","0","0.52648","0","0.52648","186.48771","1.083","5","0.762","32.67828","Georgia","-83.22295","-4.516",1,"0.539",160881,"The Real Twang Thang","SONYPOM12A8C13B2D7","175.467","0.231","0.07391","90.022","1","1","0.971","I Think My Wife Is Running Around On Me (Taco Hell)",2005
"0.299230368","ARH4Z031187B9A71F2","Faye Adams","0","0.096","0.97531","0.987","0.3393","156.39465","0.562","8","0.569","40.73197","Newark, NJ","-74.17418","-18.051",1,"0.495",373723,"Shake A Hand","SOVYKGO12AB0187199","150.634","0.67","0.3393","95.957","1","3","0.689","Crazy Mixed Up World",1961
"0.416173065","ARB29H41187B98F0EF","Terry Callier","1","0.145","0.96908","0.708","0.42073","342.56934","0.063","6","0.381","41.88415","Chicago","-87.63241","-11.939",1,"0.538",228326,"Occasional Rain","SOGNCJP12A58A80271","333.154","0.462","0.13836","110.189","0.985011245","3","0.353","Do You Finally Need A Friend",1972
"0.384611084","AR0RCMP1187FB3F427","Billie Jo Spears","0","0","0.24118","0","0.24118","133.32853","0","4","0.384","30.08615","Beaumont, TX","-94.10158","-9.983",1,"0.402",663761,"20 Of Her Best","SOGXHEG12AB018653E","130.009","0.515","0.04851","160.839","0.984993496","1","0","It Makes No Difference Now",1992
"0.426317956","AREBBGV1187FB523D2","Mike Jones (Featuring CJ_ Mello & Lil' Bran)","0","0.616","0.40866","0.616","0.40866","173.66159","0","7","0.299","37.1573567501336","Houston, TX","-63.9333578685195","-7.762",1,"0.464",12882,"Who Is Mike Jones?","SOOLYAZ12A6701F4A6","164.908","0.536","0.05133","41.993","1","1","0","Laws Patrolling (Album Version)",0
"0.488019842","ARPQ4Z01187FB3A736","Butthole Surfers","1","0.035","0.2438","0.604","0.2438","450.84689","0.467","4","0.726","29.42449","San Antonio, TX","-98.49462","-9.063",0,"0.367",244586,"Piouhgd + Widowermaker!","SOJXVAH12A8C139700","426.104","0.267","0.09307","130.586","1","4","0.42","Barking Dogs (From Piouhgd)",0
"0.41168896","ARNQAVF11F4C844C04","Despina Vandi","0","0.791","0.10104","0.895","0.10104","303.09832","0.067","8","0.532","37.1573567501336","Not available","-63.9333578685195","-8.879",0,"0.516",157648,"Profities","SOVXMTN12A8C135A18","294.818","0.764","0.10104","128.292","1","4","0.83","OUTE ENA EFHARISTO",0
"0.294861262","ARDD1RC1187B9B52B4","Jacob Young","1","0.238","0.92047","0.908","0.23284","456.30649","0.241","1","0.611","37.1573567501336","Not available","-63.9333578685195","-19.478",1,"0.546",730551,"Pieces Of Time","SOOGFBZ12AC3DF7FF2","451.315","0","0.06094","89.667","0.878319228","4","0.747","In A Subtle Way",0
"0.393121934","ARLGWFM1187FB4AC9F","Scarlet's Remains","0","0.379","0.73465","0.268","0.28881","198.73914","0","7","0.673","34.05349","California - LA","-118.24532","-7.469",1,"0.579",709879,"The Palest Grey","SOMSBGZ12AB018C4CB","193.016","0.461","0.14044","115.061","0.974033549","4","0.731","Spin",2007
"0.467538444","ARWYVP51187B98C516","The Suicide Machines","0","0.987","0.90181","0.471","0.38075","95.68608","0","2","0.421","42.33168","Detroit, MI","-83.04792","-2.022",1,"0.589",706005,"A Match & Some Gasoline","SONYRZV12AB018AF70","87.806","0.84","0.12215","115.887","1","4","0.744","Burning In The Aftermath",2003
"0.466628889","AR7TTS41187B9B42D3","R.L. Burnside","1","0.002","0.93659","0.885","0.275","277.78567","0.24","2","0","34.36401","Oxford, MS","-89.51877","-6.944",1,"0",557761,"A Bothered Mind","SOTWVQT12A58A79650","267.453","0.963","0.275","89.984","0.980350471","4","0","Glory Be",2004
"0.452817838","AR5U94U1187FB5CDCF","John Hammond","1","0.058","0.32071","0.651","0.32071","195.3171","0","7","0.98","37.1573567501336","Not available","-63.9333578685195","-10.7",1,"0.753",575531,"Bluesman","SOTSETT12AB01863B8","187.617","0.672","0.32071","123.142","1","4","0.678","I Can't Be Satisfied",2002
